利用日,利用店名,利用額,取引種類,確定／未確定,内容,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁,部門,セグメントタグ1,セグメントタグ2,セグメントタグ3,メモタグ,経費科目
2026-08-28,TAIYOBESTLIQUR KAMISU タコとハイボール神栖横丁,533,売上,未確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-28,TAIYO KAMISU タコとハイボール神栖横丁,2527,売上,未確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-28,DCM 神栖横丁2,10956,売上,未確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-28,GIYOUMUSU-PA-KAMISUTEN 韓国酒場ハナ,4649,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-28,TAIYO KAMISU 韓国酒場ハナ,3412,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-27,ＤＣＭ／ＮＦＣ 神栖横丁,107,売上,確定,"",未添付,,"",申請不要,神栖横丁,8772,,,,,,
2026-08-27,タイヨー　オークビレッジ店 もも焼きJAPAN,8901,売上,確定,"",添付済み,食材,2026-08-29,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-27,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,12550,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-27,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,1069,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-27,RAKSUL 神栖横丁2,6952,売上,未確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-27,タイヨー　神栖店 韓国酒場ハナ,6587,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-26,道の駅水の郷　さわら もも焼きJAPAN,940,売上,確定,"",添付済み,食材,2026-08-29,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-25,KASUMI FSLIFEGARDENKAMISU 大衆酒場りゅうちゃん,13957,売上,未確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-25,ｾｶﾝﾄﾞｽﾄﾘ-ﾄｶﾐｽﾃﾝ 大衆酒場りゅうちゃん,4340,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-25,ＡＭＡＺＯＮ．ＣＯ．ＪＰ さわら十三里屋リアルカード,949,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-24,タイヨー　オークビレッジ店 もも焼きJAPAN,3038,売上,確定,"",添付済み,食材,2026-08-26,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-24,タイヨーベストリカー神栖店 タコとハイボール神栖横丁,840,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-24,タイヨー　神栖店 タコとハイボール神栖横丁,4780,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-24,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,1155,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-24,タイヨー　神栖店 韓国酒場ハナ,1304,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-23,タイヨーベストリカー　鹿島店 もも焼きJAPAN,1069,売上,確定,"",添付済み,酒,2026-08-24,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-23,リカー＆フーズひしや鹿島焼芋 もも焼きJAPAN,3960,売上,確定,"",添付済み,酒,2026-08-24,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-23,道の駅いたこ　直売所 もも焼きJAPAN,2270,売上,確定,"",添付済み,食材,2026-08-24,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-23,タイヨー　オークビレッジ店 大衆酒場りゅうちゃん,16622,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-23,コメリＰＷ鹿嶋店１０１３ 焼きたて屋コメリパワー鹿島店,298,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-23,ワークマン 鳥害対策課,980,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-08-23,ＡＭＡＺＯＮ．ＣＯ．ＪＰ ビルメン事業部,2890,売上,確定,"",未添付,,"",申請不要,ビルメン事業部,0321,,,,,,
2026-08-23,ＭＥＧＡドン・キホーテＵＮＹ佐原東店＊ 韓国酒場ハナ,646,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-22,ビッグハウス　鹿嶋店 もも焼きJAPAN,7058,売上,確定,"",添付済み,食材,2026-08-23,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-22,HIGASHINIHONKOUSOKUDOURO( 鳥害対策課,490,売上,未確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-08-22,HIGASHINIHONKOUSOKUDOURO( 鳥害対策課,490,売上,未確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-08-22,タイヨー　神栖店 韓国酒場ハナ,1746,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-22,ﾌｧﾐﾘ-ﾌ-ｽﾞﾎﾝﾃﾝ     (ﾗｸﾃﾝ 韓国酒場ハナ,3770,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-21,さえき　知手店 もも焼きJAPAN,3718,売上,確定,"",添付済み,食材,2026-08-22,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-21,タイヨー　知手店 もも焼きJAPAN,4786,売上,確定,"",添付済み,食材,2026-08-22,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-21,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,2782,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-21,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,765,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-21,タイヨーベストリカー神栖店 大衆酒場りゅうちゃん,10127,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-21,タイヨー　神栖店 大衆酒場りゅうちゃん,10488,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-21,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,2195,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-21,ＤＰ１２＊ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,4220,売上,確定,"",未添付,,"",申請不要,ビルメン事業部,0321,,,,,,
2026-08-21,タイヨー　オークビレッジ店 韓国酒場ハナ,2075,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-20,ダゾーン・ジャパン・インベストメントゴウ 神栖横丁,3200,売上,確定,"",未添付,,"",申請不要,神栖横丁,8772,,,,,,
2026-08-20,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,10638,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-20,ＡＭＡＺＯＮ．ＣＯ．ＪＰ 神栖横丁2,2000,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-20,ＡＭＡＺＯＮ．ＣＯ．ＪＰ 神栖横丁2,2180,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-20,セイミヤ佐原牧野店 さわら十三里屋リアルカード,1585,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-20,タイヨー　神栖店 韓国酒場ハナ,2601,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-20,タイヨー　神栖店 韓国酒場ハナ,765,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-19,ダイソー 韓国酒場ハナ,110,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-19,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 韓国酒場ハナ,3698,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-18,タイヨー　神栖店 タコとハイボール神栖横丁,1937,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-18,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,7761,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-18,ＤＰ１２＊ＭｏｎｏｔａＲＯ．ｃｏｍ さわら十三里屋リアルカード,5338,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-18,ｶ)ﾐﾔｺ さわら十三里屋リアルカード,8250,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-18,セリア　カスミ神栖店 韓国酒場ハナ,440,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-18,タイヨーベストリカー神栖店 韓国酒場ハナ,384,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-18,タイヨー　神栖店 韓国酒場ハナ,3240,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-17,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,5939,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-17,セリア　カスミ神栖店 大衆酒場りゅうちゃん,1540,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-17,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,1047,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-16,タイヨー　オークビレッジ店 もも焼きJAPAN,6549,売上,確定,"",添付済み,食材,2026-08-17,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-16,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 大衆酒場りゅうちゃん,9812,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-16,コメリＰＷ鹿嶋店１０１３ 焼きたて屋コメリパワー鹿島店,874,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-16,ドコモご利用料金　０８月ご利用分 さわら十三里屋,3303,売上,確定,"",未添付,,"",申請不要,さわら十三里屋,0538,,,,,,
2026-08-16,山新グランステージつくばホームセンター 鳥害対策課,5218,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-08-16,ダイソー 韓国酒場ハナ,110,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-15,ビッグハウス　鹿嶋店 もも焼きJAPAN,5509,売上,確定,"",添付済み,食材,2026-08-16,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-15,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,2826,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-15,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,11402,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-15,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,3002,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-15,Ａｍａｚｏｎプライム会費 神栖横丁2,600,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-15,コスモ石油マーケティング株式会社 鳥害対策課,13047,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-08-15,タイヨー　オークビレッジ店 韓国酒場ハナ,2413,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-15,タイヨー　オークビレッジ店 韓国酒場ハナ,762,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-15,ウエルシア神栖平泉店 韓国酒場ハナ,812,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-14,明利酒類株式会社　別春館 もも焼きJAPAN,6720,売上,確定,"",添付済み,食材,2026-08-15,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-14,ミトエクセル もも焼きJAPAN,20628,売上,確定,"",添付済み,食材,2026-08-15,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-14,タイヨー　神栖店 タコとハイボール神栖横丁,1513,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-14,タイヨー　神栖店 タコとハイボール神栖横丁,545,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-14,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶｼﾏﾃﾝ タコとハイボール神栖横丁,375,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-14,ｾﾘｱ ﾗｲﾌｶﾞ-ﾃﾞﾝｶﾐｽﾃﾝ 大衆酒場りゅうちゃん,1100,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-14,タイヨー　オークビレッジ店 大衆酒場りゅうちゃん,10967,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-14,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 大衆酒場りゅうちゃん,7634,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-14,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 大衆酒場りゅうちゃん,2405,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-14,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,3002,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-14,コメリＰＷ鹿嶋店１０１３ 神栖横丁2,598,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-14,タイヨー　神栖店 韓国酒場ハナ,1218,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-13,さえき　知手店 もも焼きJAPAN,6948,売上,確定,"",添付済み,食材,2026-08-14,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-13,ビッグハウス　鹿嶋店 もも焼きJAPAN,8404,売上,確定,"",添付済み,食材,2026-08-14,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-13,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,13585,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-13,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,712,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-13,OPENAI *CHATGPT SUBSCR 神栖横丁2,3000,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-13,セイミヤ佐原牧野店 さわら十三里屋リアルカード,3440,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-13,タイヨーベストリカー神栖店 韓国酒場ハナ,983,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-13,タイヨー　神栖店 韓国酒場ハナ,4277,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-12,ファーマーズマーケットなだろう もも焼きJAPAN,3210,売上,確定,"",添付済み,食材,2026-08-14,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-12,カインズ さわら十三里屋リアルカード,198,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-11,ビッグハウス　鹿嶋店 もも焼きJAPAN,3491,売上,確定,"",添付済み,食材,2026-08-12,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-11,ｴｸｽﾌﾟﾗｲｽﾗｸﾃﾝｲﾁﾊﾞﾃﾝ(ﾗｸﾃﾝ もも焼きJAPAN,5310,売上,確定,"",添付済み,資材網,2026-08-19,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-11,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,14327,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-11,ＤＰ１２＊ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,12540,売上,確定,"",未添付,,"",申請不要,ビルメン事業部,0321,,,,,,
2026-08-11,タイヨー　神栖店 韓国酒場ハナ,3169,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-11,タイヨー　神栖店 韓国酒場ハナ,859,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-10,タイヨー　オークビレッジ店 もも焼きJAPAN,5979,売上,確定,"",添付済み,食材,2026-08-11,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-10,リカー＆フーズひしや もも焼きJAPAN,10725,売上,確定,"",添付済み,酒,2026-08-11,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-10,タイヨー　神栖店 タコとハイボール神栖横丁,1756,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-10,タイヨー　オークビレッジ店 大衆酒場りゅうちゃん,2604,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-10,ﾗｸｽﾙ 神栖横丁2,6952,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-10,ＤＣＭ／ＮＦＣ さわら十三里屋リアルカード,877,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-10,セイミヤ佐原牧野店 さわら十三里屋リアルカード,2147,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-10,タイヨー　神栖店 韓国酒場ハナ,5747,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-10,タイヨー　神栖店 韓国酒場ハナ,327,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-09,さえき　知手店 もも焼きJAPAN,3669,売上,確定,"",添付済み,食材,2026-08-10,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-09,タイヨー　知手店 もも焼きJAPAN,6723,売上,確定,"",添付済み,食材,2026-08-10,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-09,タイヨー　オークビレッジ店 大衆酒場りゅうちゃん,9478,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-09,ＡＭＡＺＯＮ．ＣＯ．ＪＰ 神栖横丁2,4744,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-09,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 韓国酒場ハナ,1407,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-08,タイヨーベストリカー神栖店 タコとハイボール神栖横丁,1622,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-08,タイヨー　神栖店 タコとハイボール神栖横丁,4494,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-08,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,9610,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-08,カインズ 大衆酒場りゅうちゃん,6468,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-08,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,729,売上,確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-08,ｴﾈｵｽ-ｴｽｴｽ 鳥害対策課,1868,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-08-08,ＤＰ１２＊ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,12246,売上,確定,"",未添付,,"",申請不要,ビルメン事業部,0321,,,,,,
2026-08-08,タイヨーベストリカー神栖店 韓国酒場ハナ,1639,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-08,タイヨー　神栖店 韓国酒場ハナ,4087,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-07,タイヨー　オークビレッジ店 もも焼きJAPAN,7545,売上,確定,"",添付済み,食材,2026-08-09,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-07,戸田産業潮来営業所 もも焼きJAPAN,5013,売上,確定,"",添付済み,資材,2026-08-09,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-07,ｴｷｼｺ-ｽﾄｲﾝﾀ-ﾈｯﾄｽ   (ﾗｸﾃﾝ もも焼きJAPAN,3180,売上,確定,"",添付済み,食材,2026-08-09,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-07,ｺﾄﾔ               (ﾗｸﾃﾝ もも焼きJAPAN,32832,売上,確定,"",添付済み,食材,2026-08-09,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-07,タイヨー　神栖店 タコとハイボール神栖横丁,2122,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-07,タイヨー　神栖店 タコとハイボール神栖横丁,754,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-07,ＵＳＥＮ　ご利用料 さわら十三里屋,2728,売上,確定,"",未添付,,"",申請不要,さわら十三里屋,0538,,,,,,
2026-08-07,ＡＭＡＺＯＮ．ＣＯ．ＪＰ 神栖横丁2,7514,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-07,ﾗｸｽﾙ 神栖横丁2,6952,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-07,ﾗｸｽﾙ 神栖横丁2,6952,売上,確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-07,タイヨー　神栖店 韓国酒場ハナ,4340,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
